,overpoints,to_end_seconds,interactions
1099,1461,29227,1
1100,1525,29226,1
1101,1567,29226,1
1102,1526,29226,1
1103,1483,29226,1
1104,1391,29226,1
1105,1368,29226,1
1106,1270,29226,1
1107,1233,29226,1
1108,1233,29225,1
1109,1214,29225,1
1110,1162,29225,1
1111,1152,29225,1
1112,1171,29225,1
1113,1206,29225,1
1114,1281,29225,1
1115,1303,29225,1
1116,1199,29224,1
1117,1174,29224,1
1118,1064,29222,1
1119,1163,29222,1
1120,1179,29222,1
1121,1169,29222,1
1122,1104,29222,1
1123,1016,29222,1
1124,1018,29221,1
1125,1089,29221,1
1126,1076,29221,1
1127,1115,29221,1
1128,1191,29221,1
1129,1221,29221,1
1130,1228,29221,1
1131,1279,29220,1
1132,1427,29220,1
1133,1492,29220,1
1134,1546,29220,1
1135,1580,29220,1
1136,1616,29220,1
1137,1437,29220,1
1138,1219,29220,1
1139,1002,29219,1
1140,1012,29218,1
1141,1066,29217,1
1142,1369,29217,1
1143,1944,29216,1
1144,2394,29216,1
1145,3039,29216,1
1146,2467,29216,1
1147,1701,29216,1
1148,1911,29216,1
1149,2789,29216,1
1150,2675,29216,1
1151,2303,29215,1
1152,1177,29215,1
1153,1191,29214,1
1154,1299,29214,1
1164,2123,29213,2
1165,2542,29213,2
1166,2695,29213,2
1167,2862,29213,2
1168,2747,29213,2
1169,2598,29213,2
1170,2633,29213,2
1171,2558,29213,2
1172,2099,29213,2
1173,1719,29213,2
1174,1615,29212,2
1175,1728,29212,2
1176,1960,29212,2
1177,2090,29212,2
1178,2121,29212,2
1179,2150,29212,2
1180,2164,29212,2
1181,2188,29212,2
1182,2374,29212,2
1183,2758,29212,2
1184,4146,29211,2
1185,4500,29211,2
1186,4448,29211,2
1187,4020,29211,2
1188,3815,29211,2
1189,3509,29211,2
1190,3344,29211,2
1191,3506,29211,2
1192,3794,29211,2
1193,3647,29211,2
1194,3633,29211,2
1195,3584,29210,2
1196,2524,29210,2
1197,2269,29210,2
1198,2423,29210,2
1199,2497,29210,2
1200,2524,29210,2
1201,2585,29210,2
1202,2666,29210,2
1203,2663,29210,2
1204,2617,29210,2
1205,2607,29209,2
1206,2738,29209,2
1207,3363,29209,2
1208,3414,29209,2
1209,3329,29209,2
1210,3166,29209,2
1211,3066,29209,2
1212,3014,29209,2
1213,2870,29209,2
1214,2816,29209,2
1215,2811,29209,2
1216,2660,29208,2
1217,2548,29208,2
1218,2181,29208,2
1219,1709,29208,2
1220,1767,29208,2
1221,1960,29208,2
1222,2244,29208,2
1223,2588,29208,2
1224,2974,29208,2
1225,3323,29208,2
1226,3624,29207,2
1227,3889,29207,2
1228,4113,29207,2
1229,4442,29207,2
1230,4764,29207,2
1231,4948,29207,2
1232,5096,29207,2
1233,5097,29207,2
1234,4984,29207,2
1235,4797,29207,2
1236,4752,29206,2
1237,5256,29206,2
1238,5492,29206,2
1239,5575,29206,2
1240,5609,29206,2
1241,5554,29206,2
1242,5410,29206,2
1243,5333,29206,2
1244,5187,29206,2
1245,5122,29206,2
1246,5084,29206,2
1247,5034,29205,2
1248,5188,29205,2
1249,5554,29205,2
1250,5748,29205,2
1251,5584,29205,2
1252,5790,29205,2
1253,6286,29205,2
1254,5851,29205,2
1255,5254,29205,2
