date,start_time,points_mean,mode,saturation
2017-05-25,09:54:30,37277,1,0.06399572869670313
2017-05-25,09:55:00,10307,1,0.017694663617697753
2017-05-25,09:55:30,0,2,0.0
2017-05-25,09:56:00,0,2,0.0
2017-05-25,09:56:30,22862,3,0.039248607706200256
2017-05-25,09:57:00,183718,3,0.3154000398288732
2017-05-25,09:57:30,136334,4,0.2340529998695261
2017-05-25,09:58:00,9360,4,0.016068890216517993
2017-05-25,09:58:30,30137,5,0.05173804962128235
2017-05-25,09:59:00,1436,5,0.0024652699092863077
2017-05-25,09:59:30,40540,6,0.06959752236940593
2017-05-25,10:00:00,0,6,0.0
2017-05-25,10:00:30,0,7,0.0
2017-05-25,10:01:00,0,7,0.0
2017-05-25,10:01:30,137085,1,0.23534228796275314
2017-05-25,10:02:00,273865,1,0.47016096358404924
2017-05-25,10:02:30,85941,2,0.14754022372839457
2017-05-25,10:03:00,0,2,0.0
2017-05-25,10:03:30,4491,3,0.007709977132733153
2017-05-25,10:04:00,0,3,0.0
2017-05-25,10:04:30,29432,4,0.050527732569717695
2017-05-25,10:05:00,184367,4,0.31651421822102277
2017-05-25,10:05:30,102917,5,0.17668397162536137
2017-05-25,10:06:00,0,5,0.0
2017-05-25,10:06:30,0,6,0.0
2017-05-25,10:07:00,0,6,0.0
2017-05-25,10:07:30,0,7,0.0
2017-05-25,10:08:00,0,7,0.0
2017-05-25,10:08:30,0,1,0.0
2017-05-25,10:09:00,0,1,0.0
2017-05-25,10:09:30,0,2,0.0
2017-05-25,10:10:00,29315,2,0.05032687144201122
2017-05-25,10:10:30,6163,3,0.01058040282098295
2017-05-25,10:11:00,16965,3,0.029124863517438867
2017-05-25,10:11:30,38250,4,0.06566613790403988
2017-05-25,10:12:00,32270,4,0.05539990248793116
2017-05-25,10:12:30,51985,5,0.08924586088735982
2017-05-25,10:13:00,36579,5,0.06279742897756535
2017-05-25,10:13:30,42752,6,0.073394999416301
2017-05-25,10:14:00,33144,6,0.056900352279516286
2017-05-25,10:14:30,3363,7,0.0057734698502297024
2017-05-25,10:15:00,1066,7,0.0018300680524367717
2017-05-25,10:15:30,0,1,0.0
2017-05-25,10:16:00,41756,1,0.07168510468813305
2017-05-25,10:16:30,9630,2,0.01653241589584063
2017-05-25,10:17:00,0,2,0.0
2017-05-25,10:17:30,0,3,0.0
2017-05-25,10:18:00,0,3,0.0
2017-05-25,10:18:30,0,4,0.0
2017-05-25,10:19:00,0,4,0.0
2017-05-25,10:19:30,2502,5,0.004295337961723079
2017-05-25,10:20:00,21880,5,0.037562747642886085
2017-05-25,10:20:30,0,6,0.0
2017-05-25,10:21:00,0,6,0.0
2017-05-25,10:21:30,0,7,0.0
2017-05-25,10:22:00,0,7,0.0
2017-05-25,10:22:30,0,1,0.0
2017-05-25,10:23:00,21420,1,0.03677303722626234
2017-05-25,10:23:30,189821,2,0.32587743694334
2017-05-25,10:24:00,1145,2,0.001965692232683024
2017-05-25,10:24:30,0,3,0.0
2017-05-25,10:25:00,0,3,0.0
2017-05-25,10:25:30,2618,4,0.004494482327654286
2017-05-25,10:26:00,54538,4,0.09362875369962162
2017-05-25,10:26:30,59743,5,0.10256449873989686
2017-05-25,10:27:00,69121,5,0.1186642906683697
2017-05-25,10:27:30,70221,6,0.12055272862116562
2017-05-25,10:28:00,94195,6,0.16171037542146502
2017-05-25,10:28:30,72578,7,0.12459913612547469
2017-05-25,10:29:00,85195,7,0.14625951944404386
2017-05-25,10:29:30,108074,1,0.1855373121004237
2017-05-25,10:30:00,67116,1,0.11522218330895531
2017-05-25,10:30:30,29594,2,0.050805847977311275
2017-05-25,10:31:00,0,2,0.0
2017-05-25,10:31:30,0,3,0.0
2017-05-25,10:32:00,1130,3,0.0019399408060539888
2017-05-25,10:32:30,77286,4,0.13268165056344122
2017-05-25,10:33:00,41920,4,0.07196665361927718
2017-05-25,10:33:30,106723,5,0.18321796694203527
2017-05-25,10:34:00,118830,5,0.20400280175521723
2017-05-25,10:34:30,18302,6,0.031420174010973544
2017-05-25,10:35:00,79842,6,0.1370696936610288
